
Epoch [1/100], Main Loss: 0.3211, Auxiliary Loss: 3.1309, Grad Norm: 1.5835
Epoch [2/100], Main Loss: 0.2637, Auxiliary Loss: 1.1334, Grad Norm: 4.4997
Epoch [3/100], Main Loss: 0.2689, Auxiliary Loss: 1.0094, Grad Norm: 5.5804
Epoch [4/100], Main Loss: 0.2758, Auxiliary Loss: 0.9927, Grad Norm: 6.0316
Epoch [5/100], Main Loss: 0.2752, Auxiliary Loss: 1.0018, Grad Norm: 5.9925
Epoch [6/100], Main Loss: 0.2770, Auxiliary Loss: 0.9894, Grad Norm: 5.7889
Epoch [7/100], Main Loss: 0.2776, Auxiliary Loss: 0.9697, Grad Norm: 5.7289
Epoch [8/100], Main Loss: 0.2786, Auxiliary Loss: 0.9174, Grad Norm: 5.9310
Epoch [9/100], Main Loss: 0.2813, Auxiliary Loss: 0.8598, Grad Norm: 6.1299
Epoch [10/100], Main Loss: 0.2851, Auxiliary Loss: 0.7649, Grad Norm: 6.6956
Epoch [11/100], Main Loss: 0.2896, Auxiliary Loss: 0.6800, Grad Norm: 7.2218
Epoch [12/100], Main Loss: 0.2962, Auxiliary Loss: 0.5863, Grad Norm: 7.7801
Epoch [13/100], Main Loss: 0.2993, Auxiliary Loss: 0.4941, Grad Norm: 8.4499
Epoch [14/100], Main Loss: 0.3038, Auxiliary Loss: 0.3754, Grad Norm: 9.3314
Epoch [15/100], Main Loss: 0.3074, Auxiliary Loss: 0.2942, Grad Norm: 10.1859
Epoch [16/100], Main Loss: 0.3072, Auxiliary Loss: 0.2240, Grad Norm: 10.6427
Epoch [17/100], Main Loss: 0.3119, Auxiliary Loss: 0.1245, Grad Norm: 11.6327
Epoch [18/100], Main Loss: 0.3125, Auxiliary Loss: 0.0575, Grad Norm: 12.4526
Epoch [19/100], Main Loss: 0.3143, Auxiliary Loss: -0.0234, Grad Norm: 13.3099
Epoch [20/100], Main Loss: 0.3184, Auxiliary Loss: -0.0725, Grad Norm: 14.0433
Epoch [21/100], Main Loss: 0.3160, Auxiliary Loss: -0.1467, Grad Norm: 15.0050
Epoch [22/100], Main Loss: 0.3216, Auxiliary Loss: -0.1909, Grad Norm: 15.7763
Epoch [23/100], Main Loss: 0.3230, Auxiliary Loss: -0.2684, Grad Norm: 16.8316
Epoch [24/100], Main Loss: 0.3252, Auxiliary Loss: -0.3328, Grad Norm: 17.9401
Epoch [25/100], Main Loss: 0.3266, Auxiliary Loss: -0.4087, Grad Norm: 19.1732
Epoch [26/100], Main Loss: 0.3318, Auxiliary Loss: -0.4173, Grad Norm: 20.1369
Epoch [27/100], Main Loss: 0.3328, Auxiliary Loss: -0.4685, Grad Norm: 20.6618
Epoch [28/100], Main Loss: 0.3364, Auxiliary Loss: -0.5161, Grad Norm: 22.0032
Epoch [29/100], Main Loss: 0.3378, Auxiliary Loss: -0.5604, Grad Norm: 22.9138
Epoch [30/100], Main Loss: 0.3380, Auxiliary Loss: -0.6050, Grad Norm: 24.4614
Epoch [31/100], Main Loss: 0.3371, Auxiliary Loss: -0.6280, Grad Norm: 24.9786
Epoch [32/100], Main Loss: 0.3419, Auxiliary Loss: -0.6895, Grad Norm: 25.5919
Epoch [33/100], Main Loss: 0.3430, Auxiliary Loss: -0.6994, Grad Norm: 26.2886
Epoch [34/100], Main Loss: 0.3413, Auxiliary Loss: -0.7184, Grad Norm: 27.3379
Epoch [35/100], Main Loss: 0.3407, Auxiliary Loss: -0.7449, Grad Norm: 27.4241
Epoch [36/100], Main Loss: 0.3410, Auxiliary Loss: -0.7482, Grad Norm: 27.9538
Epoch [37/100], Main Loss: 0.3406, Auxiliary Loss: -0.7473, Grad Norm: 28.1886
Epoch [38/100], Main Loss: 0.3381, Auxiliary Loss: -0.7517, Grad Norm: 28.4169
Epoch [39/100], Main Loss: 0.3328, Auxiliary Loss: -0.7410, Grad Norm: 28.1662
Epoch [40/100], Main Loss: 0.3296, Auxiliary Loss: -0.7037, Grad Norm: 28.3677
Epoch [41/100], Main Loss: 0.3309, Auxiliary Loss: -0.7128, Grad Norm: 28.8201
Epoch [42/100], Main Loss: 0.3334, Auxiliary Loss: -0.7465, Grad Norm: 29.3430
Epoch [43/100], Main Loss: 0.3324, Auxiliary Loss: -0.7536, Grad Norm: 30.1690
Epoch [44/100], Main Loss: 0.3323, Auxiliary Loss: -0.7503, Grad Norm: 30.2312
Epoch [45/100], Main Loss: 0.3331, Auxiliary Loss: -0.7291, Grad Norm: 29.5242
Epoch [46/100], Main Loss: 0.3344, Auxiliary Loss: -0.7698, Grad Norm: 30.2547
Epoch [47/100], Main Loss: 0.3314, Auxiliary Loss: -0.7654, Grad Norm: 30.7480
Epoch [48/100], Main Loss: 0.3336, Auxiliary Loss: -0.8266, Grad Norm: 32.0990
Epoch [49/100], Main Loss: 0.3378, Auxiliary Loss: -0.8757, Grad Norm: 32.9332
Epoch [50/100], Main Loss: 0.3383, Auxiliary Loss: -0.8409, Grad Norm: 32.7938
Epoch [51/100], Main Loss: 0.3398, Auxiliary Loss: -0.8903, Grad Norm: 33.8268
Epoch [52/100], Main Loss: 0.3424, Auxiliary Loss: -0.9135, Grad Norm: 34.8695
Epoch [53/100], Main Loss: 0.3383, Auxiliary Loss: -0.9181, Grad Norm: 34.4171
