
Epoch [1/100], Main Loss: 0.3022, Auxiliary Loss: 3.5292, Grad Norm: 1.1843
Epoch [2/100], Main Loss: 0.2037, Auxiliary Loss: 2.4257, Grad Norm: 1.7915
Epoch [3/100], Main Loss: 0.2041, Auxiliary Loss: 2.4351, Grad Norm: 1.8803
Epoch [4/100], Main Loss: 0.2114, Auxiliary Loss: 2.4914, Grad Norm: 1.9149
Epoch [5/100], Main Loss: 0.2106, Auxiliary Loss: 2.5355, Grad Norm: 1.9065
Epoch [6/100], Main Loss: 0.2059, Auxiliary Loss: 2.5758, Grad Norm: 1.9306
Epoch [7/100], Main Loss: 0.2061, Auxiliary Loss: 2.6056, Grad Norm: 1.9884
Epoch [8/100], Main Loss: 0.2067, Auxiliary Loss: 2.6049, Grad Norm: 2.0402
Epoch [9/100], Main Loss: 0.2084, Auxiliary Loss: 2.5972, Grad Norm: 2.0120
Epoch [10/100], Main Loss: 0.2077, Auxiliary Loss: 2.5539, Grad Norm: 2.0924
Epoch [11/100], Main Loss: 0.2094, Auxiliary Loss: 2.5187, Grad Norm: 2.1956
Epoch [12/100], Main Loss: 0.2065, Auxiliary Loss: 2.5071, Grad Norm: 2.2356
Epoch [13/100], Main Loss: 0.2109, Auxiliary Loss: 2.4802, Grad Norm: 2.3054
Epoch [14/100], Main Loss: 0.2110, Auxiliary Loss: 2.4270, Grad Norm: 2.3943
Epoch [15/100], Main Loss: 0.2112, Auxiliary Loss: 2.3800, Grad Norm: 2.4486
Epoch [16/100], Main Loss: 0.2122, Auxiliary Loss: 2.3496, Grad Norm: 2.5174
Epoch [17/100], Main Loss: 0.2172, Auxiliary Loss: 2.3034, Grad Norm: 2.5948
Epoch [18/100], Main Loss: 0.2146, Auxiliary Loss: 2.2713, Grad Norm: 2.6253
Epoch [19/100], Main Loss: 0.2171, Auxiliary Loss: 2.2333, Grad Norm: 2.7569
Epoch [20/100], Main Loss: 0.2183, Auxiliary Loss: 2.2200, Grad Norm: 2.8291
Epoch [21/100], Main Loss: 0.2174, Auxiliary Loss: 2.1632, Grad Norm: 2.8131
Epoch [22/100], Main Loss: 0.2208, Auxiliary Loss: 2.1302, Grad Norm: 2.9235
Epoch [23/100], Main Loss: 0.2201, Auxiliary Loss: 2.0930, Grad Norm: 2.9661
Epoch [24/100], Main Loss: 0.2187, Auxiliary Loss: 2.0589, Grad Norm: 3.0978
Epoch [25/100], Main Loss: 0.2214, Auxiliary Loss: 2.0267, Grad Norm: 3.1069
Epoch [26/100], Main Loss: 0.2254, Auxiliary Loss: 1.9822, Grad Norm: 3.2260
Epoch [27/100], Main Loss: 0.2238, Auxiliary Loss: 1.9823, Grad Norm: 3.2224
Epoch [28/100], Main Loss: 0.2256, Auxiliary Loss: 1.9376, Grad Norm: 3.3538
Epoch [29/100], Main Loss: 0.2253, Auxiliary Loss: 1.9064, Grad Norm: 3.3882
Epoch [30/100], Main Loss: 0.2258, Auxiliary Loss: 1.8911, Grad Norm: 3.4279
Epoch [31/100], Main Loss: 0.2232, Auxiliary Loss: 1.8589, Grad Norm: 3.5336
Epoch [32/100], Main Loss: 0.2265, Auxiliary Loss: 1.8345, Grad Norm: 3.5378
Epoch [33/100], Main Loss: 0.2266, Auxiliary Loss: 1.8185, Grad Norm: 3.5849
Epoch [34/100], Main Loss: 0.2287, Auxiliary Loss: 1.7928, Grad Norm: 3.6281
Epoch [35/100], Main Loss: 0.2262, Auxiliary Loss: 1.7688, Grad Norm: 3.6377
Epoch [36/100], Main Loss: 0.2295, Auxiliary Loss: 1.7526, Grad Norm: 3.7280
Epoch [37/100], Main Loss: 0.2299, Auxiliary Loss: 1.7345, Grad Norm: 3.7865
Epoch [38/100], Main Loss: 0.2299, Auxiliary Loss: 1.7043, Grad Norm: 3.8321
Epoch [39/100], Main Loss: 0.2268, Auxiliary Loss: 1.6788, Grad Norm: 3.8053
Epoch [40/100], Main Loss: 0.2261, Auxiliary Loss: 1.6770, Grad Norm: 3.8217
Epoch [41/100], Main Loss: 0.2295, Auxiliary Loss: 1.6543, Grad Norm: 3.9359
Epoch [42/100], Main Loss: 0.2285, Auxiliary Loss: 1.6450, Grad Norm: 3.9624
Epoch [43/100], Main Loss: 0.2271, Auxiliary Loss: 1.6204, Grad Norm: 3.9907
Epoch [44/100], Main Loss: 0.2325, Auxiliary Loss: 1.6229, Grad Norm: 4.1002
Epoch [45/100], Main Loss: 0.2297, Auxiliary Loss: 1.6016, Grad Norm: 4.0575
Epoch [46/100], Main Loss: 0.2290, Auxiliary Loss: 1.5896, Grad Norm: 4.0994
Epoch [47/100], Main Loss: 0.2300, Auxiliary Loss: 1.5849, Grad Norm: 4.0978
Epoch [48/100], Main Loss: 0.2285, Auxiliary Loss: 1.5853, Grad Norm: 4.0889
Epoch [49/100], Main Loss: 0.2279, Auxiliary Loss: 1.5781, Grad Norm: 4.0976
Epoch [50/100], Main Loss: 0.2288, Auxiliary Loss: 1.5961, Grad Norm: 4.1502
Epoch [51/100], Main Loss: 0.2290, Auxiliary Loss: 1.6043, Grad Norm: 4.1250
Epoch [52/100], Main Loss: 0.2266, Auxiliary Loss: 1.5963, Grad Norm: 4.0999
Epoch [53/100], Main Loss: 0.2260, Auxiliary Loss: 1.6110, Grad Norm: 4.1426
Epoch [54/100], Main Loss: 0.2269, Auxiliary Loss: 1.5671, Grad Norm: 4.1851
Epoch [55/100], Main Loss: 0.2306, Auxiliary Loss: 1.5541, Grad Norm: 4.2927
Epoch [56/100], Main Loss: 0.2296, Auxiliary Loss: 1.5529, Grad Norm: 4.2347
