
Epoch [1/100], Main Loss: 0.3022, Aux Loss: 3.5292, Grad Norm: 1.1843, Train Acc: 94.87%, Test Acc: 94.73%
Epoch [2/100], Main Loss: 0.2020, Aux Loss: 2.4346, Grad Norm: 1.8292, Train Acc: 94.66%, Test Acc: 94.81%
Epoch [3/100], Main Loss: 0.2054, Aux Loss: 2.4371, Grad Norm: 1.9194, Train Acc: 94.89%, Test Acc: 94.80%
Epoch [4/100], Main Loss: 0.2096, Aux Loss: 2.4849, Grad Norm: 1.9011, Train Acc: 95.16%, Test Acc: 94.80%
Epoch [5/100], Main Loss: 0.2081, Aux Loss: 2.5143, Grad Norm: 1.9101, Train Acc: 95.04%, Test Acc: 94.91%
Epoch [6/100], Main Loss: 0.2088, Aux Loss: 2.5748, Grad Norm: 1.9272, Train Acc: 95.62%, Test Acc: 95.32%
Epoch [7/100], Main Loss: 0.2075, Aux Loss: 2.6035, Grad Norm: 1.9737, Train Acc: 95.84%, Test Acc: 95.48%
Epoch [8/100], Main Loss: 0.2051, Aux Loss: 2.6053, Grad Norm: 1.9935, Train Acc: 95.66%, Test Acc: 95.22%
Epoch [9/100], Main Loss: 0.2076, Aux Loss: 2.5722, Grad Norm: 2.0873, Train Acc: 95.01%, Test Acc: 94.66%
Epoch [10/100], Main Loss: 0.2101, Aux Loss: 2.5485, Grad Norm: 2.1391, Train Acc: 96.16%, Test Acc: 95.92%
Epoch [11/100], Main Loss: 0.2094, Aux Loss: 2.5329, Grad Norm: 2.2152, Train Acc: 95.77%, Test Acc: 95.69%
Epoch [12/100], Main Loss: 0.2119, Aux Loss: 2.4887, Grad Norm: 2.2757, Train Acc: 96.05%, Test Acc: 95.89%
Epoch [13/100], Main Loss: 0.2109, Aux Loss: 2.4357, Grad Norm: 2.3269, Train Acc: 94.89%, Test Acc: 94.38%
Epoch [14/100], Main Loss: 0.2136, Aux Loss: 2.3977, Grad Norm: 2.4460, Train Acc: 95.66%, Test Acc: 95.50%
Epoch [15/100], Main Loss: 0.2143, Aux Loss: 2.3662, Grad Norm: 2.4778, Train Acc: 95.25%, Test Acc: 95.16%
Epoch [16/100], Main Loss: 0.2178, Aux Loss: 2.3127, Grad Norm: 2.5864, Train Acc: 95.82%, Test Acc: 95.67%
Epoch [17/100], Main Loss: 0.2167, Aux Loss: 2.2770, Grad Norm: 2.6835, Train Acc: 96.02%, Test Acc: 95.72%
Epoch [18/100], Main Loss: 0.2181, Aux Loss: 2.2394, Grad Norm: 2.7258, Train Acc: 95.56%, Test Acc: 95.43%
Epoch [19/100], Main Loss: 0.2202, Aux Loss: 2.1809, Grad Norm: 2.7735, Train Acc: 95.37%, Test Acc: 95.22%
Epoch [20/100], Main Loss: 0.2222, Aux Loss: 2.1452, Grad Norm: 2.9269, Train Acc: 95.86%, Test Acc: 95.58%
Epoch [21/100], Main Loss: 0.2245, Aux Loss: 2.1088, Grad Norm: 2.9710, Train Acc: 95.28%, Test Acc: 95.41%
Epoch [22/100], Main Loss: 0.2232, Aux Loss: 2.0851, Grad Norm: 3.0094, Train Acc: 95.69%, Test Acc: 95.55%
Epoch [23/100], Main Loss: 0.2224, Aux Loss: 2.0479, Grad Norm: 3.1586, Train Acc: 95.41%, Test Acc: 95.24%
Epoch [24/100], Main Loss: 0.2248, Aux Loss: 2.0116, Grad Norm: 3.1624, Train Acc: 95.09%, Test Acc: 94.97%
Epoch [25/100], Main Loss: 0.2257, Aux Loss: 1.9734, Grad Norm: 3.2480, Train Acc: 94.17%, Test Acc: 94.00%
Epoch [26/100], Main Loss: 0.2265, Aux Loss: 1.9564, Grad Norm: 3.3309, Train Acc: 95.66%, Test Acc: 95.25%
Epoch [27/100], Main Loss: 0.2250, Aux Loss: 1.9141, Grad Norm: 3.3670, Train Acc: 95.42%, Test Acc: 95.48%
Epoch [28/100], Main Loss: 0.2256, Aux Loss: 1.8978, Grad Norm: 3.4270, Train Acc: 95.80%, Test Acc: 95.69%
Epoch [29/100], Main Loss: 0.2239, Aux Loss: 1.8567, Grad Norm: 3.5202, Train Acc: 95.11%, Test Acc: 95.04%
Epoch [30/100], Main Loss: 0.2261, Aux Loss: 1.8348, Grad Norm: 3.5068, Train Acc: 96.13%, Test Acc: 96.16%
Epoch [31/100], Main Loss: 0.2292, Aux Loss: 1.8170, Grad Norm: 3.5906, Train Acc: 95.87%, Test Acc: 95.56%
Epoch [32/100], Main Loss: 0.2292, Aux Loss: 1.8010, Grad Norm: 3.5951, Train Acc: 95.75%, Test Acc: 95.34%
Epoch [33/100], Main Loss: 0.2287, Aux Loss: 1.7808, Grad Norm: 3.6399, Train Acc: 95.46%, Test Acc: 95.44%
Epoch [34/100], Main Loss: 0.2285, Aux Loss: 1.7649, Grad Norm: 3.7127, Train Acc: 95.71%, Test Acc: 95.68%
Epoch [35/100], Main Loss: 0.2297, Aux Loss: 1.7471, Grad Norm: 3.6890, Train Acc: 95.66%, Test Acc: 95.34%
Epoch [36/100], Main Loss: 0.2270, Aux Loss: 1.7111, Grad Norm: 3.8297, Train Acc: 94.36%, Test Acc: 93.75%
Epoch [37/100], Main Loss: 0.2265, Aux Loss: 1.7272, Grad Norm: 3.7547, Train Acc: 95.08%, Test Acc: 95.05%
Epoch [38/100], Main Loss: 0.2294, Aux Loss: 1.6968, Grad Norm: 3.9102, Train Acc: 94.30%, Test Acc: 94.18%
Epoch [39/100], Main Loss: 0.2286, Aux Loss: 1.6853, Grad Norm: 3.8098, Train Acc: 95.67%, Test Acc: 95.68%
Epoch [40/100], Main Loss: 0.2319, Aux Loss: 1.6661, Grad Norm: 3.9021, Train Acc: 95.65%, Test Acc: 95.42%
